Id,Name,Price,Quantity,Color,Description,Category,Manufacturer,CreatedAt
1,"Apple iPhone 14 Pro",1299.00,15,Silver,"Latest Apple flagship smartphone with A16 chip",Electronics,Apple,2025-09-01 12:00:00
2,"Nike Air Zoom Pegasus 40",149.99,50,Black,"Running shoes with responsive cushioning",Sportswear,Nike,2025-08-20 09:30:00
3,"Samsung 55-inch QLED TV",899.00,8,Black,"Smart 4K UHD QLED television with HDR",Electronics,Samsung,2025-07-15 14:45:00
4,"Levi's 501 Original Jeans",59.99,120,Blue,"Classic straight fit denim jeans",Clothing,Levi's,2025-06-10 11:20:00
5,"Sony WH-1000XM5 Headphones",399.00,25,White,"Noise-cancelling wireless headphones",Electronics,Sony,2025-05-05 16:10:00
6,"IKEA Malm Bed Frame",249.00,10,Gray,"Queen-size bed frame with storage drawers",Furniture,IKEA,2025-04-22 08:55:00
7,"Adidas Predator Soccer Ball",39.99,200,Red,"Official size 5 match ball",Sports,Adidas,2025-03-18 19:40:00
8,"Dell XPS 13 Laptop",1199.00,12,Silver,"13-inch ultrabook with Intel i7 processor",Electronics,Dell,2025-02-12 13:05:00
9,"Canon EOS R7 Camera",1499.00,6,Black,"Mirrorless camera with 32MP sensor",Electronics,Canon,2025-01-25 10:50:00
10,"KitchenAid Artisan Mixer",499.00,18,Red,"Stand mixer with 5-quart stainless steel bowl",Home Appliances,KitchenAid,2024-12-30 15:15:00
